Epoch | Train Loss | Val Loss | Learning Rate
Epoch 109500 | Train Loss: 4.8417e-04 | Val Loss: 1.1598e-03 | LR: 1.00e-04
Epoch 110000 | Train Loss: 4.8205e-04 | Val Loss: 1.1417e-03 | LR: 1.00e-04
Epoch 110500 | Train Loss: 4.7916e-04 | Val Loss: 1.1862e-03 | LR: 1.00e-04
Epoch 111000 | Train Loss: 4.7634e-04 | Val Loss: 1.1753e-03 | LR: 1.00e-04
Epoch 111500 | Train Loss: 4.7392e-04 | Val Loss: 1.1580e-03 | LR: 1.00e-04
Epoch 112000 | Train Loss: 4.7145e-04 | Val Loss: 1.1537e-03 | LR: 1.00e-04
Epoch 112500 | Train Loss: 4.7171e-04 | Val Loss: 1.1280e-03 | LR: 1.00e-04
Epoch 113000 | Train Loss: 4.6956e-04 | Val Loss: 1.1346e-03 | LR: 1.00e-04
Epoch 113500 | Train Loss: 4.6465e-04 | Val Loss: 1.1643e-03 | LR: 1.00e-04
Epoch 114000 | Train Loss: 4.6434e-04 | Val Loss: 1.1063e-03 | LR: 1.00e-04
Epoch 114500 | Train Loss: 4.6010e-04 | Val Loss: 1.1128e-03 | LR: 1.00e-04
Epoch 115000 | Train Loss: 4.5791e-04 | Val Loss: 1.0935e-03 | LR: 1.00e-04
Epoch 115500 | Train Loss: 4.5595e-04 | Val Loss: 1.1468e-03 | LR: 1.00e-04
Epoch 116000 | Train Loss: 4.5412e-04 | Val Loss: 1.1149e-03 | LR: 1.00e-04
Epoch 116500 | Train Loss: 4.5128e-04 | Val Loss: 1.1355e-03 | LR: 1.00e-04
Epoch 117000 | Train Loss: 4.4910e-04 | Val Loss: 1.0805e-03 | LR: 1.00e-04
Epoch 117500 | Train Loss: 4.4677e-04 | Val Loss: 1.0978e-03 | LR: 1.00e-04
Epoch 118000 | Train Loss: 4.4533e-04 | Val Loss: 1.0713e-03 | LR: 1.00e-04
Epoch 118500 | Train Loss: 4.4282e-04 | Val Loss: 1.0812e-03 | LR: 1.00e-04
Epoch 119000 | Train Loss: 4.4056e-04 | Val Loss: 1.0680e-03 | LR: 1.00e-04
Epoch 119500 | Train Loss: 4.3856e-04 | Val Loss: 1.0719e-03 | LR: 1.00e-04
Epoch 120000 | Train Loss: 4.3693e-04 | Val Loss: 1.0779e-03 | LR: 1.00e-04
Epoch 120500 | Train Loss: 4.3471e-04 | Val Loss: 1.1092e-03 | LR: 1.00e-04
Epoch 121000 | Train Loss: 4.3281e-04 | Val Loss: 1.0939e-03 | LR: 1.00e-04
Epoch 121500 | Train Loss: 4.3174e-04 | Val Loss: 1.0582e-03 | LR: 1.00e-04
Epoch 122000 | Train Loss: 4.2862e-04 | Val Loss: 1.0397e-03 | LR: 1.00e-04
Epoch 122500 | Train Loss: 4.2715e-04 | Val Loss: 1.0136e-03 | LR: 1.00e-04
Epoch 123000 | Train Loss: 4.2472e-04 | Val Loss: 1.0457e-03 | LR: 1.00e-04
Epoch 123500 | Train Loss: 4.2284e-04 | Val Loss: 1.0268e-03 | LR: 1.00e-04
Epoch 124000 | Train Loss: 4.2140e-04 | Val Loss: 1.0511e-03 | LR: 1.00e-04
Epoch 124500 | Train Loss: 4.1974e-04 | Val Loss: 1.0008e-03 | LR: 1.00e-04
Epoch 125000 | Train Loss: 4.1720e-04 | Val Loss: 9.8965e-04 | LR: 1.00e-04
Epoch 125500 | Train Loss: 4.1551e-04 | Val Loss: 9.9753e-04 | LR: 1.00e-04
Epoch 126000 | Train Loss: 4.1430e-04 | Val Loss: 9.8862e-04 | LR: 1.00e-04
Epoch 126500 | Train Loss: 4.1214e-04 | Val Loss: 1.0180e-03 | LR: 1.00e-04
Epoch 127000 | Train Loss: 4.0983e-04 | Val Loss: 1.0085e-03 | LR: 1.00e-04
Epoch 127500 | Train Loss: 4.1028e-04 | Val Loss: 1.0007e-03 | LR: 1.00e-04
Epoch 128000 | Train Loss: 4.0636e-04 | Val Loss: 9.6017e-04 | LR: 1.00e-04
Epoch 128500 | Train Loss: 4.0464e-04 | Val Loss: 9.5631e-04 | LR: 1.00e-04
Epoch 129000 | Train Loss: 4.0296e-04 | Val Loss: 9.4598e-04 | LR: 1.00e-04
Epoch 129500 | Train Loss: 4.0064e-04 | Val Loss: 9.4207e-04 | LR: 1.00e-04
Epoch 130000 | Train Loss: 3.9871e-04 | Val Loss: 9.5190e-04 | LR: 1.00e-04
Epoch 130500 | Train Loss: 3.9760e-04 | Val Loss: 9.5150e-04 | LR: 1.00e-04
Epoch 131000 | Train Loss: 3.9648e-04 | Val Loss: 9.4901e-04 | LR: 1.00e-04
Epoch 131500 | Train Loss: 3.9328e-04 | Val Loss: 9.3819e-04 | LR: 1.00e-04
Epoch 132000 | Train Loss: 3.9148e-04 | Val Loss: 9.1010e-04 | LR: 1.00e-04
Epoch 132500 | Train Loss: 3.8987e-04 | Val Loss: 9.3395e-04 | LR: 1.00e-04
Epoch 133000 | Train Loss: 3.8816e-04 | Val Loss: 9.4358e-04 | LR: 1.00e-04
